SAP_CODE,DATE,MATERIAL,UNIT_OF_MEASURE,QUANTITY,DELIVERY_NOTE_N°,SUPPLIER,UNIT_PRICE_USD
46F0A389,2024-07-12,"BANSET, A-102, 144, BANDO POWER KING. RESISTANT STATIC CONDUCTIVE OIL&HEAT",UNIT,3,2024-0001,ELECTRA-NETWORK SUPPLY,34.92
26EF527C,2024-08-27,BELT 5VX1120,UNIT,40,2024-0002,ELECTRA-NETWORK SUPPLY,35.67
DC00F912,2024-08-27,BELT 5V1180,UNIT,22,2024-0002,GENERAL SERVICES & LOGISTICS CO.,84.96
789AADE8,2024-08-27,TERMINAL 4/0,UNIT,189,2024-0002,GENERAL SERVICES & LOGISTICS CO.,13.36
F2C81599,2024-08-29,DISPLAY FOR LOW FREQUENCY VARIATOR YASKAWA MODEL JVOP-182,UNIT,1,2024-0003,ELECTRA-NETWORK SUPPLY,2857.06
A908AC03,2024-09-05,OIL FILTER P/N. 90915-30002 (5123),UNIT,4,2024-0004,ELECTRA-NETWORK SUPPLY,15.48
BEE50B68,2024-09-05,10W30 OIL (FOR DIESEL ENGINES),LITER,48,2024-0004,GENERAL SERVICES & LOGISTICS CO.,15.4
CC5B70F8,2024-09-05,7.5 R16 BLACK EAGLE TIRES,UNIT,8,2024-0004,INDUSTRIAL GLOBAL SOLUTIONS,35.03
F6CE22DB,2024-09-05,24 RM-800 BATTERIES,UNIT,2,2024-0004,INDUSTRIAL GLOBAL SOLUTIONS,315.72
23E95D43,2024-09-06,SAFETY BOOTS SIZE 40,PAIR,2,2024-0005,GENERAL SERVICES & LOGISTICS CO.,34.53
8753DB88,2024-09-06,SAFETY BOOTS SIZE 41,PAIR,3,2024-0005,GENERAL SERVICES & LOGISTICS CO.,34.63
5CB91B3B,2024-09-06,SAFETY BOOTS SIZE 42,PAIR,3,2024-0005,INDUSTRIAL GLOBAL SOLUTIONS,34.45
D730F4DE,2024-09-06,SAFETY BOOTS SIZE 43,PAIR,2,2024-0005,INDUSTRIAL GLOBAL SOLUTIONS,34.35
26EF527C,2024-09-22,BELT 5VX1120,UNIT,16,2024-0006,INDUSTRIAL GLOBAL SOLUTIONS,35.64
26EF527C,2024-09-22,BELT 5VX1120,UNIT,12,2024-0006,GENERAL SERVICES & LOGISTICS CO.,34.96
9AEA11D3,2024-09-22,RUBBER SPLICING TAPE 23,ROLL,12,2024-0006,ELECTRA-NETWORK SUPPLY,26.48
D2EFDF01,2024-09-22,ELECTRICAL TAPE 33,ROLL,12,2024-0006,GENERAL SERVICES & LOGISTICS CO.,13.7
932DEE17,2024-09-22,TERMINAL BARRACUDA FOR 3/0 CABLE,UNIT,108,2024-0006,ELECTRA-NETWORK SUPPLY,11.09
EF21C431,2024-10-04,"ELECTRIC MOTOR 75HP,460V,60HZ,FRAME405T MODEL: TXC 405T75U6B SERIAL: 2404086-001",UNIT,6,REQ-PRP-2024-004,ELECTRA-NETWORK SUPPLY,5500.0
